"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate","Retransmission","IDK"
"2079","63.024309199","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=42758 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2080","63.024309518","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=45606 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2081","63.024380124","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=48454 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2082","63.024411711","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=51302 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2083","63.024411834","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=54150 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2084","63.024447012","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=56998 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2085","63.024498431","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=59846 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291","","","","",""
"2086","63.024528613","10.10.3.105","10.10.3.102","MPTCP","2716","55092  >  5201 [PSH, ACK] Seq=62694 Ack=1 Win=64256 Len=2624 TSval=2010520682 TSecr=1041647291","","","","",""
"2087","63.028056184","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=19974 Win=61440 Len=0 TSval=1041647291 TSecr=2010520590","","","","",""
"2088","63.032927240","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=25670 Win=69888 Len=0 TSval=1041647291 TSecr=2010520590","","","","",""
"2089","63.033336169","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [PSH, ACK] Seq=13425 Ack=1 Win=64256 Len=1424 TSval=939775933 TSecr=1401755670","","","","",""
"2090","63.033365637","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=14849 Win=135040 Len=0 TSval=1401755770 TSecr=939775933","0.000029468","","","",""
"2091","63.034099052","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=22822 Win=59392 Len=0 TSval=1041647291 TSecr=2010520590","","","","",""
"2092","63.041821056","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=37062 Win=92672 Len=0 TSval=1041647291 TSecr=2010520590","0.109425383","","","",""
"2093","63.042102649","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=34214 Win=86912 Len=0 TSval=1041647291 TSecr=2010520590","","","","",""
"2094","63.043962653","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=39910 Win=98304 Len=0 TSval=1041647295 TSecr=2010520594","0.107427678","","","",""
"2095","63.044604502","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=17126 Win=63488 Len=0 TSval=1041647290 TSecr=2010520590","","","","",""
"2096","63.044621163","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=14849 Ack=1 Win=64256 Len=1424 TSval=939775935 TSecr=1401755681","","","","",""
"2097","63.044663621","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=16273 Win=133760 Len=0 TSval=1401755781 TSecr=939775935","0.000042458","","","",""
"2098","63.044786443","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 2015#1] 55092  >  5201 [ACK] Seq=65318 Ack=1 Win=64256 Len=0 TSval=2010520703 TSecr=1041647295","","","�\234\223","","�\234\223"
"2099","63.046647103","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=31366 Win=81280 Len=0 TSval=1041647291 TSecr=2010520590","","","","",""
"2100","63.054054660","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=42758 Win=104064 Len=0 TSval=1041647295 TSecr=2010520594","0.117470992","","","",""
"2101","63.060255970","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=16273 Ack=1 Win=64256 Len=1424 TSval=939775935 TSecr=1401755681","","","","",""
"2102","63.060302679","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=17697 Win=132352 Len=0 TSval=1401755797 TSecr=939775935","0.000046709","","","",""
"2103","63.068594184","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=17697 Ack=1 Win=64256 Len=1424 TSval=939775935 TSecr=1401755681","","","","",""
"2104","63.068640083","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=19121 Win=130944 Len=0 TSval=1401755805 TSecr=939775935","0.000045899","","","",""
"2105","63.080442579","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [PSH, ACK] Seq=19121 Ack=1 Win=64256 Len=1424 TSval=939775935 TSecr=1401755681","","","","",""
"2106","63.080488096","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=20545 Win=129536 Len=0 TSval=1401755817 TSecr=939775935","0.000045517","","","",""
"2107","63.092327574","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=20545 Ack=1 Win=64256 Len=1424 TSval=939775941 TSecr=1401755686","","","","",""
"2108","63.092373391","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=21969 Win=128128 Len=0 TSval=1401755829 TSecr=939775941","0.000045817","","","",""
"2109","63.104195070","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [PSH, ACK] Seq=21969 Ack=1 Win=64256 Len=1424 TSval=939775941 TSecr=1401755686","","","","",""
"2110","63.104241245","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=23393 Win=126720 Len=0 TSval=1401755841 TSecr=939775941","0.000046175","","","",""
"2111","63.105202273","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=54150 Win=126848 Len=0 TSval=1041647383 TSecr=2010520682","0.080790562","","","",""
"2112","63.112052666","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=65318 Win=136576 Len=0 TSval=1041647383 TSecr=2010520682","0.087524053","","","",""
"2113","63.112511247","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=65318 Ack=1 Win=64256 Len=2848 TSval=2010520770 TSecr=1041647383","","","","",""
"2114","63.112511659","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=68166 Ack=1 Win=64256 Len=2848 TSval=2010520770 TSecr=1041647383","","","","",""
"2115","63.112511771","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=71014 Ack=1 Win=64256 Len=2848 TSval=2010520770 TSecr=1041647383","","","","",""
"2116","63.112621471","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=73862 Ack=1 Win=64256 Len=2848 TSval=2010520770 TSecr=1041647383","","","","",""
"2117","63.112663226","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=76710 Ack=1 Win=64256 Len=2848 TSval=2010520771 TSecr=1041647383","","","","",""
